,_state,id,book_id,books_count,isbn,author,original_publication_year,original_title,title,lang_code,average_rating,image_url,small_image_url,image
10,<django.db.models.base.ModelState object at 0x00000216581216D0>,11,77203,283,1594480001,Khaled Hosseini,2003,The Kite Runner ,The Kite Runner,eng,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg,https://images.gr-assets.com/books/1484565687s/77203.jpg,https://images.gr-assets.com/books/1484565687m/77203.jpg
11,<django.db.models.base.ModelState object at 0x0000021658121760>,12,13335037,210,62024035,Veronica Roth,2011,Divergent,"Divergent (Divergent, #1)",eng,4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg,https://images.gr-assets.com/books/1328559506s/13335037.jpg,https://images.gr-assets.com/books/1328559506m/13335037.jpg
12,<django.db.models.base.ModelState object at 0x00000216581217F0>,13,5470,995,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,Nineteen Eighty-Four,1984,eng,4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg,https://images.gr-assets.com/books/1348990566s/5470.jpg,https://images.gr-assets.com/books/1348990566m/5470.jpg
13,<django.db.models.base.ModelState object at 0x0000021658121880>,14,7613,896,452284244,George Orwell,1945,Animal Farm: A Fairy Story,Animal Farm,eng,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg,https://images.gr-assets.com/books/1424037542s/7613.jpg,https://images.gr-assets.com/books/1424037542m/7613.jpg
14,<django.db.models.base.ModelState object at 0x0000021658121910>,15,48855,710,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 au,The Diary of a Young Girl,eng,4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg,https://images.gr-assets.com/books/1358276407s/48855.jpg,https://images.gr-assets.com/books/1358276407m/48855.jpg
15,<django.db.models.base.ModelState object at 0x00000216581219A0>,16,2429135,274,307269752,"Stieg Larsson, Reg Keeland",2005,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",eng,4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg,https://images.gr-assets.com/books/1327868566s/2429135.jpg,https://images.gr-assets.com/books/1327868566m/2429135.jpg
16,<django.db.models.base.ModelState object at 0x0000021658121A30>,17,6148028,201,439023491,Suzanne Collins,2009,Catching Fire,"Catching Fire (The Hunger Games, #2)",eng,4.3,https://images.gr-assets.com/books/1358273780m/6148028.jpg,https://images.gr-assets.com/books/1358273780s/6148028.jpg,https://images.gr-assets.com/books/1358273780m/6148028.jpg
17,<django.db.models.base.ModelState object at 0x0000021658121AC0>,19,34,566,618346252,J.R.R. Tolkien,1954, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",eng,4.34,https://images.gr-assets.com/books/1298411339m/34.jpg,https://images.gr-assets.com/books/1298411339s/34.jpg,https://images.gr-assets.com/books/1298411339m/34.jpg
18,<django.db.models.base.ModelState object at 0x0000021658121B50>,20,7260188,239,439023513,Suzanne Collins,2010,Mockingjay,"Mockingjay (The Hunger Games, #3)",eng,4.03,https://images.gr-assets.com/books/1358275419m/7260188.jpg,https://images.gr-assets.com/books/1358275419s/7260188.jpg,https://images.gr-assets.com/books/1358275419m/7260188.jpg
19,<django.db.models.base.ModelState object at 0x0000021658121BE0>,21,2,307,439358078,"J.K. Rowling, Mary GrandPré",2003,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",eng,4.46,https://images.gr-assets.com/books/1387141547m/2.jpg,https://images.gr-assets.com/books/1387141547s/2.jpg,https://images.gr-assets.com/books/1387141547m/2.jpg
20,<django.db.models.base.ModelState object at 0x0000021658121C70>,22,12232938,183,316166685,Alice Sebold,2002,The Lovely Bones,The Lovely Bones,eng,3.77,https://images.gr-assets.com/books/1457810586m/12232938.jpg,https://images.gr-assets.com/books/1457810586s/12232938.jpg,https://images.gr-assets.com/books/1457810586m/12232938.jpg
21,<django.db.models.base.ModelState object at 0x0000021658121D00>,23,15881,398,439064864,"J.K. Rowling, Mary GrandPré",1998,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",eng,4.37,https://images.gr-assets.com/books/1474169725m/15881.jpg,https://images.gr-assets.com/books/1474169725s/15881.jpg,https://images.gr-assets.com/books/1474169725m/15881.jpg
22,<django.db.models.base.ModelState object at 0x0000021658121D90>,24,6,332,439139600,"J.K. Rowling, Mary GrandPré",2000,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",eng,4.53,https://images.gr-assets.com/books/1361482611m/6.jpg,https://images.gr-assets.com/books/1361482611s/6.jpg,https://images.gr-assets.com/books/1361482611m/6.jpg
23,<django.db.models.base.ModelState object at 0x0000021658121E20>,25,136251,263,545010225,"J.K. Rowling, Mary GrandPré",2007,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,https://images.gr-assets.com/books/1474171184m/136251.jpg
24,<django.db.models.base.ModelState object at 0x0000021658121EB0>,26,968,350,307277674,Dan Brown,2003,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,https://images.gr-assets.com/books/1303252999m/968.jpg
25,<django.db.models.base.ModelState object at 0x0000021658121F40>,27,1,275,439785960,"J.K. Rowling, Mary GrandPré",2005,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,https://images.gr-assets.com/books/1361039191m/1.jpg
26,<django.db.models.base.ModelState object at 0x0000021658121FD0>,28,7624,458,140283331,William Golding,1954,Lord of the Flies ,Lord of the Flies,eng,3.64,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,https://images.gr-assets.com/books/1327869409m/7624.jpg
27,<django.db.models.base.ModelState object at 0x00000216581540A0>,29,18135,1937,743477111,"William Shakespeare, Robert           Jackson",1595,An Excellent conceited Tragedie of Romeo and Julie,Romeo and Juliet,eng,3.73,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,https://images.gr-assets.com/books/1327872146m/18135.jpg
28,<django.db.models.base.ModelState object at 0x0000021658154130>,30,8442457,196,297859382,Gillian Flynn,2012,Gone Girl,Gone Girl,eng,4.03,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,https://images.gr-assets.com/books/1339602131m/8442457.jpg
29,<django.db.models.base.ModelState object at 0x00000216581541C0>,31,4667024,183,399155341,Kathryn Stockett,2009,The Help,The Help,eng,4.45,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg,https://images.gr-assets.com/books/1346100365m/4667024.jpg
30,<django.db.models.base.ModelState object at 0x0000021658154250>,32,890,373,142000671,John Steinbeck,1937,Of Mice and Men ,Of Mice and Men,eng,3.84,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg,https://images.gr-assets.com/books/1437235233m/890.jpg
31,<django.db.models.base.ModelState object at 0x00000216581542E0>,33,930,220,739326228,Arthur Golden,1997,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
32,<django.db.models.base.ModelState object at 0x0000021658154370>,34,10818853,169,1612130291,E.L. James,2011,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg,https://images.gr-assets.com/books/1385207843m/10818853.jpg
33,<django.db.models.base.ModelState object at 0x0000021658154400>,35,865,458,61122416,"Paulo Coelho, Alan R. Clarke",1988,O Alquimista,The Alchemist,eng,3.82,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg,https://images.gr-assets.com/books/1483412266m/865.jpg
34,<django.db.models.base.ModelState object at 0x0000021658154490>,36,3636,192,385732554,Lois Lowry,1993,The Giver,"The Giver (The Giver, #1)",eng,4.12,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,https://images.gr-assets.com/books/1342493368m/3636.jpg
35,<django.db.models.base.ModelState object at 0x0000021658154520>,37,100915,474,60764899,C.S. Lewis,1950,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg,https://images.gr-assets.com/books/1353029077m/100915.jpg
36,<django.db.models.base.ModelState object at 0x00000216581545B0>,38,14050,167,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife,The Time Traveler's Wife,eng,3.95,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg,https://images.gr-assets.com/books/1437728815m/14050.jpg
37,<django.db.models.base.ModelState object at 0x0000021658154640>,39,13496,101,553588486,George R.R. Martin,1996,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg,https://images.gr-assets.com/books/1436732693m/13496.jpg
38,<django.db.models.base.ModelState object at 0x00000216581546D0>,40,19501,185,143038419,Elizabeth Gilbert,2006,"Eat, pray, love: one woman's search for everything","Eat, Pray, Love",eng,3.51,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg,https://images.gr-assets.com/books/1503066414m/19501.jpg
39,<django.db.models.base.ModelState object at 0x0000021658154760>,41,28187,159,786838655,Rick Riordan,2005,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg,https://images.gr-assets.com/books/1400602609m/28187.jpg
40,<django.db.models.base.ModelState object at 0x00000216581547F0>,42,1934,1707,451529308,Louisa May Alcott,1868,Little Women,"Little Women (Little Women, #1)",en-US,4.04,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
41,<django.db.models.base.ModelState object at 0x0000021658154880>,43,10210,2568,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,Jane Eyre,eng,4.1,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg,https://images.gr-assets.com/books/1327867269m/10210.jpg
42,<django.db.models.base.ModelState object at 0x0000021658154910>,44,15931,190,553816713,Nicholas Sparks,1996,The Notebook,"The Notebook (The Notebook, #1)",eng,4.06,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg,https://images.gr-assets.com/books/1385738917m/15931.jpg
43,<django.db.models.base.ModelState object at 0x00000216581549A0>,46,43641,128,1565125606,Sara Gruen,2006,Water for Elephants,Water for Elephants,eng,4.07,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg,https://images.gr-assets.com/books/1494428973m/43641.jpg
44,<django.db.models.base.ModelState object at 0x0000021658154A30>,47,19063,251,375831002,Markus Zusak,2005,The Book Thief,The Book Thief,eng,4.36,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg,https://images.gr-assets.com/books/1390053681m/19063.jpg
45,<django.db.models.base.ModelState object at 0x0000021658154AC0>,48,4381,507,307347974,Ray Bradbury,1953,Fahrenheit 451,Fahrenheit 451,spa,3.97,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg,https://images.gr-assets.com/books/1351643740m/4381.jpg
46,<django.db.models.base.ModelState object at 0x0000021658154B50>,49,49041,194,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,3.52,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg,https://images.gr-assets.com/books/1361039440m/49041.jpg
47,<django.db.models.base.ModelState object at 0x0000021658154BE0>,50,30119,45,60513039,Shel Silverstein,1974,Where the Sidewalk Ends: The Poems and Drawings of,Where the Sidewalk Ends,eng,4.29,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg,https://images.gr-assets.com/books/1168052448m/30119.jpg
48,<django.db.models.base.ModelState object at 0x0000021658154C70>,51,256683,178,1416914285,Cassandra Clare,2007,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng,4.12,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg,https://images.gr-assets.com/books/1432730315m/256683.jpg
49,<django.db.models.base.ModelState object at 0x0000021658154D00>,52,428263,185,316160202,Stephenie Meyer,2007,Eclipse,"Eclipse (Twilight, #3)",en-US,3.69,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg,https://images.gr-assets.com/books/1361038355m/428263.jpg
50,<django.db.models.base.ModelState object at 0x0000021658154D90>,53,113436,217,375826696,Christopher Paolini,2002,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg,https://images.gr-assets.com/books/1366212852m/113436.jpg
51,<django.db.models.base.ModelState object at 0x0000021658154E20>,54,11,257,345391802,Douglas Adams,1979,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg,https://images.gr-assets.com/books/1327656754m/11.jpg
52,<django.db.models.base.ModelState object at 0x0000021658154EB0>,55,5129,515,60929871,Aldous Huxley,1932,Brave New World,Brave New World,eng,3.97,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg,https://images.gr-assets.com/books/1487389574m/5129.jpg
53,<django.db.models.base.ModelState object at 0x0000021658154F40>,57,37435,125,142001740,Sue Monk Kidd,2001,The Secret Life of Bees,The Secret Life of Bees,en-US,4.01,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg,https://images.gr-assets.com/books/1473454532m/37435.jpg
54,<django.db.models.base.ModelState object at 0x0000021658154FD0>,58,2956,2277,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,3.8,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg,https://images.gr-assets.com/books/1405973850m/2956.jpg
55,<django.db.models.base.ModelState object at 0x00000216581570A0>,59,24178,180,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,Charlotte's Web,eng,4.15,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg,https://images.gr-assets.com/books/1439632243m/24178.jpg
56,<django.db.models.base.ModelState object at 0x0000021658157130>,60,1618,183,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,3.85,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg,https://images.gr-assets.com/books/1479863624m/1618.jpg
57,<django.db.models.base.ModelState object at 0x00000216581571C0>,61,22557272,14,1594633665,Paula Hawkins,2015,The Girl on the Train,The Girl on the Train,eng,3.88,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg,https://images.gr-assets.com/books/1490903702m/22557272.jpg
58,<django.db.models.base.ModelState object at 0x0000021658157250>,62,119322,287,679879242,Philip Pullman,1995,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,3.94,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg,https://images.gr-assets.com/books/1451271747m/119322.jpg
59,<django.db.models.base.ModelState object at 0x00000216581572E0>,63,6185,2498,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,Wuthering Heights,eng,3.82,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
60,<django.db.models.base.ModelState object at 0x0000021658157370>,64,10917,125,743454537,Jodi Picoult,2004,My Sister's Keeper,My Sister's Keeper,eng,4.06,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg,https://images.gr-assets.com/books/1369504683m/10917.jpg
61,<django.db.models.base.ModelState object at 0x0000021658157400>,65,4981,241,385333846,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A ",Slaughterhouse-Five,eng,4.06,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg,https://images.gr-assets.com/books/1440319389m/4981.jpg
62,<django.db.models.base.ModelState object at 0x0000021658157490>,66,18405,409,446675539,Margaret Mitchell,1936,Gone with the Wind,Gone with the Wind,eng,4.28,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg,https://images.gr-assets.com/books/1328025229m/18405.jpg
63,<django.db.models.base.ModelState object at 0x0000021658157520>,67,128029,197,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,A Thousand Splendid Suns,eng,4.34,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg,https://images.gr-assets.com/books/1345958969m/128029.jpg
64,<django.db.models.base.ModelState object at 0x00000216581575B0>,68,22628,128,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng,4.21,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg,https://images.gr-assets.com/books/1167352178m/22628.jpg
65,<django.db.models.base.ModelState object at 0x0000021658157640>,69,11735983,164,7442912,Veronica Roth,2012,Insurgent,"Insurgent (Divergent, #2)",eng,4.07,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg,https://images.gr-assets.com/books/1325667729m/11735983.jpg
66,<django.db.models.base.ModelState object at 0x00000216581576D0>,70,375802,224,812550706,Orson Scott Card,1985,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,4.3,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg,https://images.gr-assets.com/books/1408303130m/375802.jpg
67,<django.db.models.base.ModelState object at 0x0000021658157760>,71,18490,2618,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng,3.75,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg,https://images.gr-assets.com/books/1381512375m/18490.jpg
68,<django.db.models.base.ModelState object at 0x00000216581577F0>,72,11588,289,450040186,Stephen King,1977,The Shining,The Shining (The Shining #1),eng,4.17,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg,https://images.gr-assets.com/books/1353277730m/11588.jpg
69,<django.db.models.base.ModelState object at 0x0000021658157880>,73,1656001,161,316068047,Stephenie Meyer,2008,The Host,"The Host (The Host, #1)",en-US,3.84,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg,https://images.gr-assets.com/books/1318009171m/1656001.jpg
70,<django.db.models.base.ModelState object at 0x0000021658157910>,74,99561,187,142402516,John Green,2005,Looking for Alaska,Looking for Alaska,eng,4.09,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg,https://images.gr-assets.com/books/1394798630m/99561.jpg
71,<django.db.models.base.ModelState object at 0x00000216581579A0>,76,14935,1969,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Sense and Sensibility,eng,4.06,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg,https://images.gr-assets.com/books/1397245675m/14935.jpg
72,<django.db.models.base.ModelState object at 0x0000021658157A30>,77,38709,138,439244196,"Louis Sachar, Louis Sachar",1998,Holes,"Holes (Holes, #1)",eng,3.93,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg,https://images.gr-assets.com/books/1327781893m/38709.jpg
73,<django.db.models.base.ModelState object at 0x0000021658157AC0>,78,5139,129,307275558,Lauren Weisberger,2003,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
74,<django.db.models.base.ModelState object at 0x0000021658157B50>,79,1381,1703,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,The Odyssey,eng,3.73,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg,https://images.gr-assets.com/books/1390173285m/1381.jpg
75,<django.db.models.base.ModelState object at 0x0000021658157BE0>,80,157993,1708,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,The Little Prince,eng,4.28,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg,https://images.gr-assets.com/books/1367545443m/157993.jpg
76,<django.db.models.base.ModelState object at 0x0000021658157C70>,82,1845,108,385486804,Jon Krakauer,1996,Into the Wild,Into the Wild,eng,3.94,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg,https://images.gr-assets.com/books/1403173986m/1845.jpg
77,<django.db.models.base.ModelState object at 0x0000021658157D00>,83,1953,525,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,A Tale of Two Cities,eng,3.81,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg,https://images.gr-assets.com/books/1344922523m/1953.jpg
78,<django.db.models.base.ModelState object at 0x0000021658157D90>,85,370493,81,60256656,Shel Silverstein,1964,The Giving Tree,The Giving Tree,eng,4.38,https://images.gr-assets.com/books/1174210942m/370493.jpg,https://images.gr-assets.com/books/1174210942s/370493.jpg,https://images.gr-assets.com/books/1174210942m/370493.jpg
79,<django.db.models.base.ModelState object at 0x0000021658157E20>,86,32542,158,385338600,John Grisham,1989,A Time to Kill,A Time to Kill,eng,4.03,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
